Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Portugal,PRT,3.87844492912385
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Puerto Rico,PRI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Qatar,QAT,17.6645688975284
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Romania,ROU,11.5931080562161
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Russian Federation,RUS,3.15758439104957
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Rwanda,RWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Samoa,WSM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,San Marino,SMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sao Tome and Principe,STP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Saudi Arabia,SAU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Senegal,SEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Serbia,SRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Seychelles,SYC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sierra Leone,SLE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Singapore,SGP,2.49868542929179
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sint Maarten (Dutch part),SXM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Slovak Republic,SVK,9.40392370762837
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Slovenia,SVN,3.4478928277576
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Solomon Islands,SLB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Somalia,SOM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,South Africa,ZAF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,South Sudan,SSD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Spain,ESP,3.49820872222878
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sri Lanka,LKA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,St. Kitts and Nevis,KNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,St. Lucia,LCA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,St. Martin (French part),MAF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,St. Vincent and the Grenadines,VCT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sudan,SDN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Suriname,SUR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Sweden,SWE,4.75486375525062
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Switzerland,CHE,5.23794154711814
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Syrian Arab Republic,SYR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Tajikistan,TJK,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Tanzania,TZA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Thailand,THA,15.0523465894575
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Timor-Leste,TLS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Togo,TGO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Tonga,TON,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Trinidad and Tobago,TTO,14.3282294105814
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Tunisia,TUN,26.5799659944383
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Turkey,TUR,10.889425883362
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Turkmenistan,TKM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Turks and Caicos Islands,TCA,..
