Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,New Zealand,NZL,11.4715142987848
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Nicaragua,NIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Niger,NER,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Nigeria,NGA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Northern Mariana Islands,MNP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Norway,NOR,10.5671927487195
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Oman,OMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Pakistan,PAK,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Palau,PLW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Panama,PAN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Papua New Guinea,PNG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Paraguay,PRY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Peru,PER,28.3002141425787
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Philippines,PHL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Poland,POL,10.7925259550878
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Portugal,PRT,12.7056349946323
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Puerto Rico,PRI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Qatar,QAT,22.7932422824646
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Romania,ROU,23.4078387141321
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Russian Federation,RUS,12.786892963017
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Rwanda,RWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Samoa,WSM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,San Marino,SMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Sao Tome and Principe,STP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Saudi Arabia,SAU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Senegal,SEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Serbia,SRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Seychelles,SYC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Sierra Leone,SLE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Singapore,SGP,8.32161835644586
